atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,commits_count,contributors_count,defective,dpt_count,etp_count,filepath,highest_experience,loc_count,median_hunks_count,minor_contributors_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,release_date,release_end,release_start,repo,total_added_loc,total_removed_loc,apls_count,niu_count,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nvr_count
2.0,2.0,0.12,0.0,0.0,5.0,4.0,no,3.0,4.83,meta/main.yml,0.89,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,26.0,6.0,,,,,,,,,,,,
3.0,11.0,0.37,4.0,0.13,13.0,3.0,no,2.0,5.97,tasks/configure.yml,2.85,30.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,118.0,1.0,0.1,10.0,9.0,0.9,9.0,9.0,1.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,74.0,28.0,,,,,,,,,,,,
3.0,10.0,0.38,0.0,0.0,7.0,3.0,no,1.0,5.51,tasks/install.deb.yml,2.26,26.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,1.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,92.0,3.0,0.3,10.0,7.0,0.7,5.0,7.0,1.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,59.0,22.0,,,,,,,,,,,,
12.0,2.0,0.08,0.0,0.0,3.0,1.0,no,2.0,4.37,tasks/replication.yml,2.43,24.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2.0,2.0,1.0,9.0,2.0,1.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,57.0,30.0,,,,,,,,,,,,
3.0,5.0,0.38,0.0,0.0,1.0,1.0,no,1.0,4.94,tasks/mms-agent.yml,0.53,13.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,5.0,5.0,1.0,4.0,5.0,1.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,19.0,0.0,,,,,,,,,,,,
5.0,4.0,0.2,2.0,0.1,1.0,1.0,yes,2.0,5.55,tasks/cloudsight_setup.yml,39.69,20.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,4.0,4.0,1.0,3.0,5.0,1.0,2016-02-29 13:01:14-05:00,c0a575a4d0d5cd8c461b6388abf28ee3a245fd42,19e4baf84ed23d0574858ba4994377d2e58c3a96,threatstack/threatstack-ansible,12.0,26.0,,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,1.0,1.0,no,1.0,2.58,handlers/main.yml,2.09,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2016-02-29 13:01:14-05:00,c0a575a4d0d5cd8c461b6388abf28ee3a245fd42,19e4baf84ed23d0574858ba4994377d2e58c3a96,threatstack/threatstack-ansible,2.0,0.0,,,,,,,,,,,,
3.0,4.0,0.36,1.0,0.09,0.0,0.0,no,1.0,5.03,tasks/main.yml,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,4.0,4.0,1.0,0.0,4.0,1.0,2016-02-29 13:01:14-05:00,c0a575a4d0d5cd8c461b6388abf28ee3a245fd42,19e4baf84ed23d0574858ba4994377d2e58c3a96,threatstack/threatstack-ansible,0.0,0.0,,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,no,3.0,5.53,meta/main.yml,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,62.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,2016-02-29 13:01:14-05:00,c0a575a4d0d5cd8c461b6388abf28ee3a245fd42,19e4baf84ed23d0574858ba4994377d2e58c3a96,threatstack/threatstack-ansible,0.0,0.0,,,,,,,,,,,,
6.0,2.0,0.12,0.0,0.0,0.0,0.0,no,2.0,4.87,tasks/yum_install.yml,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,2016-02-29 13:01:14-05:00,c0a575a4d0d5cd8c461b6388abf28ee3a245fd42,19e4baf84ed23d0574858ba4994377d2e58c3a96,threatstack/threatstack-ansible,0.0,0.0,,,,,,,,,,,,
