add,adev,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,comm,ddev,defective,del,dpt_count,etp_count,exp,filepath,hcm_c1,hcm_cp,hcm_cu,hunk,loc_count,minor,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,new_devs,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,oexp,own,repository,sha
0.0,1,6,7,0.17,0,0.0,24,1,yes,0.0,2,5.71,4740.0,tasks/freebsd_install.yml,0.0,0.0,0.0,0,40,0,0.0,0.0,0,4,0,2,0,0,0,0,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,31,0,0,0,4,0,7,1.0,0,0.0,0,2,125,0,0.0,7,7,1.0,6,7,1.0,1.0,0.0316,nusenu/ansible-relayor,ecd05ee5fa3c823f5d4ecd97f24f5af00a50fb06
0.003472222222222222,1,10,18,0.11,13,0.08,18,1,yes,0.0,1,6.52,1861.0,tasks/configure.yml,0.0,0.0,0.0,1,161,0,0.0,0.0,0,26,0,10,0,0,0,0,25.0,0.64,0,5,0.0,0.0,0,1,0,0,0,0,0,0,0,77,0,3,11,4,0,14,1.0,0,0.0,0,3,456,0,0.0,14,14,1.0,15,14,1.0,1.0,0.2058,nusenu/ansible-relayor,44617d6949d8b6bf3e0ad200b6f158d7436a298a
0.0,1,8,30,0.16,9,0.05,47,1,yes,0.0,1,7.0,4356.0,tasks/configure.yml,0.0,0.0,0.0,0,184,0,0.0,0.0,0,47,0,6,0,0,0,0,16.0,0.46,0,10,0.0,0.0,0,0,0,0,0,0,0,0,0,96,0,0,16,8,0,22,1.0,0,0.0,0,2,732,0,0.0,22,22,1.0,21,22,1.0,1.0,0.2539,nusenu/ansible-relayor,167e44f8652d0288e4728fec053960f6b6cbf7fa
0.007633587786259542,1,6,13,0.18,3,0.04,22,1,yes,0.023809523809523808,2,5.87,378.43,tasks/main.yml,0.0,0.0,0.0,1,72,0,0.0,0.0,0,11,0,7,0,0,0,0,1.0,0.07,0,1,0.0,0.0,0,0,0,0,0,9,0,0,1,42,0,0,1,5,0,3,0.75,1,0.25,0,0,152,10,0.77,13,3,0.23,4,4,1.0,0.996,0.0289,nusenu/ansible-relayor,85b96a58a39f2e87779d5a98a40f2dcb9862d8f1
0.0,2,9,3,0.17,2,0.11,9,2,yes,0.0,2,5.05,374.44,tasks/linux_service.yml,0.0,0.0,0.0,0,18,0,0.0,0.0,0,6,0,1,0,0,0,0,2.0,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,2,1,0,2,0.5,2,0.5,0,0,61,0,0.0,2,2,1.0,7,4,1.0,0.9959,0.0164,nusenu/ansible-relayor,40c2a0aab1694994d5a45958f0086449cf1d43e4
0.0,0,4,6,0.23,3,0.12,0,2,yes,0.0,3,5.33,0.0,tasks/ip-list.yml,3.4936,0.0271,0.0935,0,26,0,0.0,0.0,0,9,0,3,0,0,0,0,1.0,0.14,1,4,0.0,0.0,0,0,0,0,0,0,0,0,1,24,0,2,1,2,0,6,1.0,0,0.0,0,0,91,0,0.0,6,6,1.0,10,6,1.0,0.0,0.0,nusenu/ansible-relayor,27d3f5f8c4469632bd158d52f5894919e55ae7cc
0.0,1,6,13,0.15,8,0.09,6,1,yes,0.0,1,6.41,1035.0,tasks/configure.yml,0.0,0.0,0.0,0,89,0,0.0,0.0,0,18,0,1,0,0,0,0,20.0,0.62,0,2,0.0,0.0,0,2,0,0,0,0,0,0,0,49,0,0,8,3,0,10,0.83,2,0.17,0,4,327,0,0.0,12,12,1.0,14,12,1.0,1.0,0.1198,nusenu/ansible-relayor,492991728f4d67dbfeefed516a2998d2d43791eb
0.0,1,5,6,0.21,4,0.14,23,1,yes,0.0,2,5.71,4356.0,tasks/openbsd_install.yml,0.0,0.0,0.0,0,28,0,0.0,0.0,0,3,1,2,0,0,0,0,1.0,0.14,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,23,0,0,1,5,0,6,1.0,0,0.0,1,1,104,0,0.0,6,6,1.0,5,6,1.0,1.0,0.0379,nusenu/ansible-relayor,3f58f5380a772b43005b4700b11af8649c790b8a
0.0,1,6,4,0.17,2,0.09,32,1,no,0.0,2,5.39,378.52,tasks/openbsd_prepare.yml,0.0,0.0,0.0,0,23,0,0.0,0.0,0,5,1,2,0,0,0,0,1.0,0.2,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,21,0,0,1,3,0,4,1.0,0,0.0,0,1,88,0,0.0,4,4,1.0,5,4,1.0,0.996,0.0347,nusenu/ansible-relayor,28b4bf010226a17e035b8c5a9775c8a8dfc6b8b3
0.0,1,3,4,0.33,4,0.33,6,1,no,0.0,1,3.93,1827.0,handlers/main.yml,0.0,0.0,0.0,0,12,0,0.0,0.0,0,0,2,0,0,0,0,0,4.0,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,4,1.0,0,0.0,0,0,33,0,0.0,4,4,1.0,0,4,1.0,1.0,0.0181,nusenu/ansible-relayor,89469a7522ac4618769a5cf24b69cf4f111553a5
0.0,1,3,6,0.26,10,0.43,1,1,no,0.0,1,5.58,1036.0,tasks/openbsd_install.yml,0.0,0.0,0.0,0,23,0,0.0,0.0,0,4,3,2,0,0,0,0,5.0,0.42,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,7,1.0,0,0.0,2,1,114,0,0.0,7,7,1.0,3,7,1.0,1.0,0.0386,nusenu/ansible-relayor,6bc6b1b04df4a179331d4b4dd8d03f8a7a364f74
0.0,1,5,6,0.2,2,0.07,26,1,no,0.0,2,5.73,4741.0,tasks/openbsd_install.yml,0.0,0.0,0.0,0,30,0,0.0,0.0,0,3,1,2,0,0,0,0,1.0,0.14,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,24,0,0,1,5,0,6,1.0,0,0.0,0,1,106,0,0.0,6,6,1.0,5,6,1.0,1.0,0.0361,nusenu/ansible-relayor,990e5b7afc211e99c8dfe7ef65a45c5645b54ae3
0.3684210526315789,1,4,9,0.21,5,0.12,4,1,no,0.0,2,5.86,4354.0,tasks/rpm_install.yml,0.0,0.0,0.0,3,42,0,0.0,0.0,0,4,0,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,33,0,0,0,7,0,7,1.0,0,0.0,0,0,123,2,0.22,9,7,0.78,4,7,1.0,1.0,0.0131,nusenu/ansible-relayor,8d16346f0b8e9948b65bf34e38a532d416e5ceb1
