avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens
0.0,8.0,3.0,339.0,19.0,19.0,19.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,1.0,1547827326.0,1.0,no,roles/pump_kafka/tasks/install_certs.yml,100.0,2.0,16.0,0.0,19.0,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,0.0,0.0,roles/pump_kafka/tasks/install_certs.yml,pingcap/tidb-ansible,5.05,name deploy cert make sure certif directori exit file path pump cert dir state directori mode name deploy cert deploy certif copi src cert dir item dest pump cert dir item mode backup ye item path pumpserv pump host path pumpserv pump host path sync certsdefault
0.0,4.0,3.0,339.0,12.0,12.0,12.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,1.0,1547827326.0,1.0,no,roles/drainer_kafka/vars/default.yml,100.0,3.0,4.0,4.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,roles/drainer_kafka/vars/default.yml,pingcap/tidb-ansible,2.0,secur sslca sslcert sslkey
0.0,5.0,3.0,339.0,91.0,91.0,91.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,1.0,1547827326.0,1.0,no,roles/pump_kafka/tasks/check_certs.yml,100.0,14.0,76.0,0.0,91.0,91.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,256.0,7.0,0.0,2.0,roles/pump_kafka/tasks/check_certs.yml,pingcap/tidb-ansible,6.38,name check cert check cert alreadi gener control machin find path cert dir pattern path get checksum deleg localhost regist cert control node run debug var cert control node name check cert set default valu sync cert gen cert set fact sync cert gen cert set fact pump host hostvar inventori hostnam path host default inventori hostnam name check cert check cert alreadi exist node stat path pump cert dir item regist cert pump node item path pumpserv pump host path pumpserv pump host path debug var cert pump node name check cert set gen cert set fact gen cert item cert control path attributepath list deleg localhost run item cert dir path set pump host group pump server uniquesort host pump host set pump hostvar host path host default hostvar host path hostnam cert dir pumpserv pump path path endif endfor debug var gen cert name check cert set gen node cert set fact gen node cert set pump host group pump server uniquesort set exist cert cert control path attributepath listsort host pump host set pump hostvar host path host default hostvar host path hostnam set host cert spumpserv path format cert dir pump host cert exist cert host els host endif endfor run debug var gen node cert name check cert set pump cert key set fact pump cert key path cert dir pumpserv hostvar inventori hostnam path host path debug var pump cert key path name check cert set sync cert set fact sync cert gen node cert inventori hostnam cert pump path path cert pump path path cert pump path path cert control path path equalto pump cert key path map attribut checksum firstdefault debug var sync cert
0.0,4.0,3.0,339.0,43.0,7.0,23.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,6.0,1547827326.0,2.0,no,roles/collector_pd/tasks/main.yml,80.0,9.0,33.0,0.0,54.0,9.0,23.0,11.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,180.0,7.0,0.0,0.0,roles/collector_pd/tasks/main.yml,pingcap/tidb-ansible,5.75,set fact collector dir hostvar path server path dir servic host ansibl host name creat fetch directori deleg localhost file path item statedirectori mode item fetch tmp dir servic host includ task collect path includ task collect path name collect process inform shell python collector dir path output log dir aliaspd inventori hostnam system collector port client port becom name collect inform shell python collector dir path output log dir aliaspd inventori hostnam tidb pdctl host ansibl host port client port name compress collect data shell python collector dir path output log dir aliaspd inventori hostnam archiv name fetch diagnosi tarbal bandwidth limit deleg localhost shell scp ansibl portdefault collect bandwidth limitdefault strict host key checkingno servic host log dir inventori hostnam path fetch tmp dir servic host inventori hostnam path enabl bandwidth limitdefault name fetch diagnosi tarbal without bandwidth limit fetch src log dir inventori hostnam path dest fetch tmp dir servic host inventori hostnam path flat ye enabl bandwidth limitdefault name remov temporari diagnosi tarbal file path log dir item state absent item inventori hostnam path
0.0,5.0,3.0,339.0,12.0,3.0,6.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,4.0,1547827326.0,2.0,no,roles/ops/tasks/main.yml,50.0,1.0,10.0,0.0,14.0,4.0,7.0,2.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,roles/ops/tasks/main.yml,pingcap/tidb-ansible,3.93,name creat check path script templat src check path dest playbook dir scriptscheck path mode name creat path script templat src path dest playbook dir path mode
0.0,6.0,3.0,339.0,8.0,2.0,8.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,4.0,1547827326.0,1.0,no,roles/prometheus/tasks/systemd_deployment.yml,100.0,1.0,6.0,0.0,12.0,3.0,8.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,0.0,2.0,roles/prometheus/tasks/systemd_deployment.yml,pingcap/tidb-ansible,3.39,name deploy systemd includ role name systemd var role name prometheu servic name prometheu prometheu port
0.0,2.0,3.0,339.0,4.0,2.0,4.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,2.0,1547827326.0,2.0,no,roles/prometheus/meta/main.yml,66.67,1.0,2.0,0.0,5.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,roles/prometheus/meta/main.yml,pingcap/tidb-ansible,1.58,depend role common dir
0.0,25.0,3.0,339.0,729.0,16.0,238.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,45.0,1547827326.0,10.0,no,roles/tikv/vars/default.yml,28.93,134.0,25.0,517.0,1303.0,29.0,324.0,574.0,13.0,219.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,roles/tikv/templates/stop_tikv.sh.j2,pingcap/tidb-ansible,4.52,global readpool storag coprocessor server label storag metric interv address job tikv raftstor synclog coprocessor rocksdb titan defaultcf titan writecf lockcf raftdb defaultcf secur import
0.0,4.0,3.0,339.0,22.0,22.0,22.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,1.0,1547827326.0,1.0,no,roles/kafka_exporter/tasks/binary_deployment.yml,100.0,4.0,17.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,3.0,0.0,1.0,roles/kafka_exporter/tasks/binary_deployment.yml,pingcap/tidb-ansible,5.27,name creat deploy directori file path item statedirectori mode item kafka export log dir name deploy kafka export binari copi src resourc dir binkafka export dest deploy dir bin mode name creat run script templat src item role name path dest deploy dir script item role name path mode backup ye item run var role statu dir statu role name includ task process supervis path
0.0,13.0,3.0,339.0,24.0,2.0,12.0,fd8534d8ded60053a56ef2aeef0e999ef90ed249,12.0,1547827326.0,3.0,no,roles/grafana/defaults/main.yml,51.72,9.0,13.0,1.0,41.0,3.0,12.0,17.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,roles/grafana/defaults/main.yml,pingcap/tidb-ansible,4.38,grafana log dir deploy dir log grafana log filenam path grafana data dir deploy dir path grafana dashboard dir deploy dir optgrafanadashboard grafana plugin dir deploy dir optgrafanaplugin grafana admin user admin grafana admin password admin grafana api key name grafana apikey role admin grafana exec var grafana version grafana tag
