added_loc,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,commit_hunks_count,commit_sha,commits_count,contributors_count,defective,dpt_count,etp_count,file_sha,filepath,highest_experience,loc_count,median_hunks_count,minor_contributors_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,norm_added_loc,norm_removed_loc,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,release,removed_loc,repository,total_added_loc,total_removed_loc,apls_count,niu_count,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nvr_count,release_ends_at,release_starts_at
0.0,4.0,6.0,0.33,0.0,0.0,0.0,61b008311c40b377e57e166b778232a20224f7c6,0.0,0.0,no,1.0,4.25,e51784575ed1a78492ad11f44c2e6532056d65b8,tasks/main.yml,0.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,3.0,5.0,0.36,0.0,0.0,0.0,61b008311c40b377e57e166b778232a20224f7c6,0.0,0.0,no,1.0,4.99,719cc6af28b44d6cc3e62146597fc0234d277a19,tasks/mms-agent.yml,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,5.0,5.0,1.0,4.0,5.0,1.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,14.0,2.0,0.07,0.0,0.0,0.0,61b008311c40b377e57e166b778232a20224f7c6,0.0,0.0,no,2.0,4.43,ad51da29f7d252a510c72892bdd29a2f3393f970,tasks/replication.yml,0.0,28.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,2.0,2.0,1.0,11.0,2.0,1.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,2.0,2.0,0.11,0.0,0.0,0.0,61b008311c40b377e57e166b778232a20224f7c6,0.0,0.0,no,3.0,4.88,b2ea55b78289952433059ca16266d6701e6450df,meta/main.yml,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,3.0,5.0,0.36,0.0,0.0,0.0,61b008311c40b377e57e166b778232a20224f7c6,0.0,0.0,no,1.0,4.33,290a74d428e3a3369a95a53f90054a69ec1c4672,handlers/main.yml,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,5.0,5.0,1.0,1.0,5.0,1.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,9.0,6.0,0.11,0.0,0.0,0.0,ec4de12ae75f7191a5f71aa775e0344679ea1477,0.0,0.0,yes,2.0,5.39,3d3be5efd2f10981847a53489a3e689db96deddf,tasks/auth_initialization.yml,0.0,56.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,3.0,3.0,4.0,0.0,5.0,0.5,5.0,0.5,0.0,0.0,0.0,0.0,164.0,1.0,0.17,6.0,5.0,0.83,13.0,7.0,0.7,42487b9f4681a078ef82c07c3307a51653a19791,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,13.0,2.0,0.05,0.0,0.0,0.0,ec4de12ae75f7191a5f71aa775e0344679ea1477,0.0,0.0,yes,2.0,4.52,0fa9d9ae451a7f8eb1c45da80b30164d7a5b3745,tasks/auth_initialization_ald.yml,0.0,42.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,3.0,1.0,0.0,3.0,0.38,5.0,0.62,0.0,0.0,0.0,0.0,123.0,0.0,0.0,3.0,3.0,1.0,11.0,5.0,0.62,42487b9f4681a078ef82c07c3307a51653a19791,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,3.0,10.0,0.34,1.0,0.03,0.0,ec4de12ae75f7191a5f71aa775e0344679ea1477,0.0,0.0,no,2.0,5.94,14fad3e18b1ae9fd6de0fdd0ae89ca3a59dd72cc,tasks/configure.yml,0.0,29.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,0.1,10.0,9.0,0.9,9.0,9.0,1.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,3.0,10.0,0.36,0.0,0.0,0.0,ec4de12ae75f7191a5f71aa775e0344679ea1477,0.0,0.0,no,1.0,5.57,b9cce2c09be17389157b60db11fba911e2b47ffc,tasks/install.deb.yml,0.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,1.0,9.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,2.0,0.2,10.0,8.0,0.8,5.0,8.0,1.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
0.0,2.0,4.0,0.57,0.0,0.0,0.0,ec4de12ae75f7191a5f71aa775e0344679ea1477,0.0,0.0,no,1.0,3.48,66a7653efc2716d16f7ffadf146f4307e96707ea,tasks/main.yml,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,UnderGreen/ansible-role-mongodb,0.0,0.0,,,,,,,,,,,,,,
