author,repository,link
ocha,ansible-role-dotnet-core,https://github.com/ocha/ansible-role-dotnet-core
viasite-ansible,ansible-role-zsh,https://github.com/viasite-ansible/ansible-role-zsh
idealista,kafka_role,https://github.com/idealista/kafka_role
zaxos,glusterfs-ansible-role,https://github.com/zaxos/glusterfs-ansible-role
andrewsomething,ansible-role-do-agent,https://github.com/andrewsomething/ansible-role-do-agent
zaxos,lvm-ansible-role,https://github.com/zaxos/lvm-ansible-role
ansible,ansible-kubernetes-modules,https://github.com/ansible/ansible-kubernetes-modules
MLTSHP,mltshp,https://github.com/MLTSHP/mltshp
haxorof,ansible-role-docker-ce,https://github.com/haxorof/ansible-role-docker-ce
redhat-cop,infra-ansible,https://github.com/redhat-cop/infra-ansible
stone-payments,ansible-mongodb,https://github.com/stone-payments/ansible-mongodb
linux-system-roles,timesync,https://github.com/linux-system-roles/timesync
idealista,airflow-role,https://github.com/idealista/airflow-role
m4rcu5nl,ansible-role-zerotier,https://github.com/m4rcu5nl/ansible-role-zerotier
RedHatOfficial,ansible-redhat_satellite6,https://github.com/RedHatOfficial/ansible-redhat_satellite6
freeipa,ansible-freeipa,https://github.com/freeipa/ansible-freeipa
Tronde,ansible-role-rhel-patchmanagement,https://github.com/Tronde/ansible-role-rhel-patchmanagement
HewlettPackard,Docker-SimpliVity,https://github.com/HewlettPackard/Docker-SimpliVity
alvistack,ansible-role-jira,https://github.com/alvistack/ansible-role-jira
kubevirt,kubevirt-ansible,https://github.com/kubevirt/kubevirt-ansible
RedHat-EMEA-SSA-Team,hetzner-ocp,https://github.com/RedHat-EMEA-SSA-Team/hetzner-ocp
robertdebock,ansible-role-bootstrap,https://github.com/robertdebock/ansible-role-bootstrap
cimon-io,ansible-role-systemd-service,https://github.com/cimon-io/ansible-role-systemd-service
oVirt,ovirt-ansible-vm-infra,https://github.com/oVirt/ovirt-ansible-vm-infra
oVirt,ovirt-ansible-infra,https://github.com/oVirt/ovirt-ansible-infra
oVirt,ovirt-ansible-image-template,https://github.com/oVirt/ovirt-ansible-image-template
robertdebock,ansible-role-dns,https://github.com/robertdebock/ansible-role-dns
intel,container-experience-kits,https://github.com/intel/container-experience-kits
ansible-ThoTeam,nexus3-oss,https://github.com/ansible-ThoTeam/nexus3-oss
cloudalchemy,ansible-fluentd,https://github.com/cloudalchemy/ansible-fluentd
stackhpc,ansible-role-libvirt-vm,https://github.com/stackhpc/ansible-role-libvirt-vm
Juniper,contrail,https://github.com/Juniper/contrail
oVirt,ovirt-ansible-disaster-recovery,https://github.com/oVirt/ovirt-ansible-disaster-recovery
robertdebock,ansible-role-tomcat,https://github.com/robertdebock/ansible-role-tomcat
florianutz,Ubuntu1604-CIS,https://github.com/florianutz/Ubuntu1604-CIS
nginxinc,ansible-role-nginx,https://github.com/nginxinc/ansible-role-nginx
cytopia,ansible-role-cloudformation,https://github.com/cytopia/ansible-role-cloudformation
counteractive,incident-response-plan-template,https://github.com/counteractive/incident-response-plan-template
RedHatOfficial,ansible-redhat_cloudforms,https://github.com/RedHatOfficial/ansible-redhat_cloudforms
mrlesmithjr,ansible-rpi-k8s-cluster,https://github.com/mrlesmithjr/ansible-rpi-k8s-cluster
jaredledvina,sensu-go-ansible,https://github.com/jaredledvina/sensu-go-ansible
mrlesmithjr,Packer-For-vSphere-and-More,https://github.com/mrlesmithjr/Packer-For-vSphere-and-More
bendews,ansible-cloudflared,https://github.com/bendews/ansible-cloudflared
Icinga,ansible-icinga2,https://github.com/Icinga/ansible-icinga2
mina-alber,wireguard-ansible,https://github.com/mina-alber/wireguard-ansible
NVIDIA,deepops,https://github.com/NVIDIA/deepops
lean-delivery,ansible-role-java,https://github.com/lean-delivery/ansible-role-java
oVirt,ovirt-ansible-hosted-engine-setup,https://github.com/oVirt/ovirt-ansible-hosted-engine-setup
lean-delivery,ansible-role-sonarqube,https://github.com/lean-delivery/ansible-role-sonarqube
integr8ly,installation,https://github.com/integr8ly/installation
RedHat-EMEA-SSA-Team,stc,https://github.com/RedHat-EMEA-SSA-Team/stc
amimof,kubernetes-the-right-way,https://github.com/amimof/kubernetes-the-right-way
anmoel,ansible-role-kubernetes,https://github.com/anmoel/ansible-role-kubernetes
adityarpillai,jumpstart,https://github.com/adityarpillai/jumpstart
xtophd,RHEL8-Workshop,https://github.com/xtophd/RHEL8-Workshop
Havilland,prometheus-ocp,https://github.com/Havilland/prometheus-ocp
sassoftware,viya-ark,https://github.com/sassoftware/viya-ark
dokku,ansible-dokku,https://github.com/dokku/ansible-dokku
vitabaks,postgresql_cluster,https://github.com/vitabaks/postgresql_cluster
oxedions,bluebanquise,https://github.com/oxedions/bluebanquise
anthcourtney,ansible-role-cis-amazon-linux,https://github.com/anthcourtney/ansible-role-cis-amazon-linux
roots,trellis,https://github.com/roots/trellis
Oefenweb,ansible-wordpress,https://github.com/Oefenweb/ansible-wordpress
